image:FILE,category
train/angular_leaf_spot_0.png,angular_leaf_spot
train/angular_leaf_spot_1.png,angular_leaf_spot
train/angular_leaf_spot_2.png,angular_leaf_spot
train/angular_leaf_spot_3.png,angular_leaf_spot
train/angular_leaf_spot_4.png,angular_leaf_spot
train/angular_leaf_spot_5.png,angular_leaf_spot
train/angular_leaf_spot_6.png,angular_leaf_spot
train/angular_leaf_spot_7.png,angular_leaf_spot
train/angular_leaf_spot_8.png,angular_leaf_spot
train/angular_leaf_spot_9.png,angular_leaf_spot
train/angular_leaf_spot_10.png,angular_leaf_spot
train/angular_leaf_spot_11.png,angular_leaf_spot
train/angular_leaf_spot_12.png,angular_leaf_spot
train/angular_leaf_spot_13.png,angular_leaf_spot
train/angular_leaf_spot_14.png,angular_leaf_spot
train/angular_leaf_spot_15.png,angular_leaf_spot
train/angular_leaf_spot_16.png,angular_leaf_spot
train/angular_leaf_spot_17.png,angular_leaf_spot
train/angular_leaf_spot_18.png,angular_leaf_spot
train/angular_leaf_spot_19.png,angular_leaf_spot
train/angular_leaf_spot_20.png,angular_leaf_spot
train/angular_leaf_spot_21.png,angular_leaf_spot
train/angular_leaf_spot_22.png,angular_leaf_spot
train/angular_leaf_spot_23.png,angular_leaf_spot
train/bean_rust_0.png,bean_rust
train/bean_rust_1.png,bean_rust
train/bean_rust_2.png,bean_rust
train/bean_rust_3.png,bean_rust
train/bean_rust_4.png,bean_rust
train/bean_rust_5.png,bean_rust
train/bean_rust_6.png,bean_rust
train/bean_rust_7.png,bean_rust
train/bean_rust_8.png,bean_rust
train/bean_rust_9.png,bean_rust
train/bean_rust_10.png,bean_rust
train/bean_rust_11.png,bean_rust
train/bean_rust_12.png,bean_rust
train/bean_rust_13.png,bean_rust
train/bean_rust_14.png,bean_rust
train/bean_rust_15.png,bean_rust
train/bean_rust_16.png,bean_rust
train/bean_rust_17.png,bean_rust
train/bean_rust_18.png,bean_rust
train/bean_rust_19.png,bean_rust
train/bean_rust_20.png,bean_rust
train/bean_rust_21.png,bean_rust
train/bean_rust_22.png,bean_rust
train/bean_rust_23.png,bean_rust
train/healthy_0.png,healthy
train/healthy_1.png,healthy
train/healthy_2.png,healthy
train/healthy_3.png,healthy
train/healthy_4.png,healthy
train/healthy_5.png,healthy
train/healthy_6.png,healthy
train/healthy_7.png,healthy
train/healthy_8.png,healthy
train/healthy_9.png,healthy
train/healthy_10.png,healthy
train/healthy_11.png,healthy
train/healthy_12.png,healthy
train/healthy_13.png,healthy
train/healthy_14.png,healthy
train/healthy_15.png,healthy
train/healthy_16.png,healthy
train/healthy_17.png,healthy
train/healthy_18.png,healthy
train/healthy_19.png,healthy
train/healthy_20.png,healthy
train/healthy_21.png,healthy
train/healthy_22.png,healthy
train/healthy_23.png,healthy
