FilePath,Class
./Dataset/reciter_a/reciter_a_0.wav,reciter_a
./Dataset/reciter_a/reciter_a_1.wav,reciter_a
./Dataset/reciter_a/reciter_a_2.wav,reciter_a
./Dataset/reciter_a/reciter_a_3.wav,reciter_a
./Dataset/reciter_a/reciter_a_4.wav,reciter_a
./Dataset/reciter_b/reciter_b_0.wav,reciter_b
./Dataset/reciter_b/reciter_b_1.wav,reciter_b
./Dataset/reciter_b/reciter_b_2.wav,reciter_b
./Dataset/reciter_b/reciter_b_3.wav,reciter_b
./Dataset/reciter_b/reciter_b_4.wav,reciter_b
./Dataset/reciter_c/reciter_c_0.wav,reciter_c
./Dataset/reciter_c/reciter_c_1.wav,reciter_c
./Dataset/reciter_c/reciter_c_2.wav,reciter_c
./Dataset/reciter_c/reciter_c_3.wav,reciter_c
./Dataset/reciter_c/reciter_c_4.wav,reciter_c
